Name,config_id,trainable_params,dataset_name,test_accuracy,AUC_micro,precision_micro,recall_micro,f1_micro,best_epoch,total_epochs,ECE_l1,activation_type,batch_size,data_subset,num_epochs,model,lora_alpha,r,reduction
SwishL Stage 3-4 Shared,7cfd35bf,8205,Kaggle Brain MRI,0.252136752,0.426057655,0.252136752,0.252136752,0.252136752,10,16,0.265288979,stage3_4_act2_blockshared_swishlearn,4,0.005,30,GPAF,,,
SwishL Stage 3-4 Shared,cdd0c1eb,8205,Kaggle Brain MRI,0.418803419,0.344452527,0.418803419,0.418803419,0.418803419,27,30,0.505336702,stage3_4_act2_blockshared_swishlearn,4,0.01,30,GPAF,,,
SwishL Stage 3-4 Shared,4bf4a66b,8205,Kaggle Brain MRI,0.029202279,0.350680155,0.029202279,0.029202279,0.029202279,27,30,0.787071764,stage3_4_act2_blockshared_swishlearn,32,0.1,30,GPAF,,,
SwishL Stage 3-4 Shared,1d8b0746,8205,Kaggle Brain MRI,0.918803419,0.347364436,0.918803419,0.918803419,0.918803419,29,30,0.885979772,stage3_4_act2_blockshared_swishlearn,32,0.5,30,GPAF,,,
SwishL Stage 3-4 Shared,95079dbe,8205,Kaggle Brain MRI,0.929487179,0.344898783,0.929487179,0.929487179,0.929487179,24,26,0.904818892,stage3_4_act2_blockshared_swishlearn,32,1,30,GPAF,,,
SwishL Stage 4 By Channel,0effc014,9732,Kaggle Brain MRI,0.255698006,0.430442935,0.255698006,0.255698006,0.255698006,4,10,0.177089587,stage4_act2only_channelwise_swishlearn,4,0.005,30,GPAF,,,
SwishL Stage 4 By Channel,5caab061,9732,Kaggle Brain MRI,0.426638177,0.342065676,0.426638177,0.426638177,0.426638177,27,30,0.510840178,stage4_act2only_channelwise_swishlearn,4,0.01,30,GPAF,,,
SwishL Stage 4 By Channel,d365a703,9732,Kaggle Brain MRI,0.027065527,0.350112147,0.027065527,0.027065527,0.027065527,27,30,0.789662242,stage4_act2only_channelwise_swishlearn,32,0.1,30,GPAF,,,
SwishL Stage 4 By Channel,84891439,9732,Kaggle Brain MRI,0.917378917,0.346089334,0.917378917,0.917378917,0.917378917,29,30,0.888182163,stage4_act2only_channelwise_swishlearn,32,0.5,30,GPAF,,,
SwishL Stage 4 By Channel,17fcb68d,9732,Kaggle Brain MRI,0.93019943,0.345432971,0.93019943,0.93019943,0.93019943,24,26,0.903186142,stage4_act2only_channelwise_swishlearn,32,1,30,GPAF,,,
Lora-C 4-8,0e415427,445956,Kaggle Brain MRI,0.363960114,0.519658762,0.363960114,0.363960114,0.363960114,7,11,0.614661098,,4,0.005,30,LoRA,8,4,
